minute,heart_rate,pace,zone
1,62,8.5,warmup
2,75,7.8,warmup
3,88,7.2,warmup
4,98,6.8,warmup
5,108,6.4,warmup
6,118,6.0,tempo
7,124,5.8,tempo
8,128,5.6,tempo
9,132,5.5,tempo
10,135,5.4,tempo
11,138,5.3,tempo
12,140,5.2,tempo
13,142,5.2,tempo
14,144,5.1,tempo
15,146,5.0,tempo
16,150,4.8,threshold
17,154,4.7,threshold
18,158,4.6,threshold
19,162,4.5,threshold
20,165,4.4,threshold
21,168,4.3,threshold
22,170,4.2,threshold
23,174,4.0,max
24,178,3.9,max
25,180,3.8,max
26,165,4.5,cooldown
27,140,5.2,cooldown
28,115,6.0,cooldown
29,95,7.0,cooldown
30,80,7.8,cooldown
