name,type,hp,attack,defense,speed
Bulbasaur,Grass,45,49,49,45
Charmander,Fire,39,52,43,65
Squirtle,Water,44,48,65,43
Pikachu,Electric,35,55,40,90
Eevee,Normal,55,55,50,55
Snorlax,Normal,160,110,65,30
Mewtwo,Psychic,106,110,90,130
Charizard,Fire,78,84,78,100
Blastoise,Water,79,83,100,78
Venusaur,Grass,80,82,83,80
Gyarados,Water,95,125,79,81
Dragonite,Dragon,91,134,95,80
Alakazam,Psychic,55,50,45,120
Machamp,Fighting,90,130,80,55
Gengar,Ghost,60,65,60,110
Lapras,Water,130,85,80,60
Ditto,Normal,48,48,48,48
Articuno,Ice,90,85,100,85
Zapdos,Electric,90,90,85,100
Moltres,Fire,90,100,90,90
