day,price,volume
1,150.20,12500000
2,151.45,11800000
3,149.80,13200000
4,148.30,14500000
5,147.10,15100000
6,146.55,16200000
7,145.90,15800000
8,146.40,13900000
9,147.20,12700000
10,146.80,11500000
11,145.30,12800000
12,144.10,15600000
13,143.50,17200000
14,144.80,14900000
15,146.20,12300000
16,148.50,11700000
17,150.10,12200000
18,151.80,13500000
19,153.40,14100000
20,155.20,13800000
21,157.30,12600000
22,159.10,11900000
23,161.50,13200000
24,163.20,14800000
25,165.00,15500000
26,166.80,14100000
27,168.40,12700000
28,170.10,11800000
29,171.50,12400000
30,173.20,13900000
31,174.80,14200000
32,176.10,13100000
33,177.40,12500000
34,178.20,11700000
35,178.90,12100000
36,177.50,14600000
37,175.80,16800000
38,173.20,18500000
39,170.40,19200000
40,168.10,17600000
41,166.50,15400000
42,165.80,13700000
43,166.20,12500000
44,167.40,11900000
45,168.90,12300000
46,170.50,13400000
47,172.30,14100000
48,174.80,14900000
49,177.20,14200000
50,179.50,13500000
51,181.80,13100000
52,183.40,12700000
53,185.10,13800000
54,186.80,14500000
55,188.20,13900000
56,190.50,13200000
57,192.10,12800000
58,193.50,12400000
59,194.80,11900000
60,195.20,11600000
