day,city,temperature,humidity,condition
1,Tokyo,22.4,68,cloudy
1,London,14.2,82,rainy
1,Sydney,25.1,62,sunny
1,Cairo,31.5,35,sunny
2,Tokyo,23.8,65,sunny
2,London,13.5,85,rainy
2,Sydney,26.3,58,sunny
2,Cairo,32.8,32,sunny
3,Tokyo,21.5,72,cloudy
3,London,15.1,78,cloudy
3,Sydney,24.8,65,cloudy
3,Cairo,30.2,38,sunny
4,Tokyo,20.1,75,rainy
4,London,12.8,88,rainy
4,Sydney,23.5,68,cloudy
4,Cairo,29.5,42,sunny
5,Tokyo,24.2,62,sunny
5,London,16.4,75,cloudy
5,Sydney,27.1,55,sunny
5,Cairo,33.1,30,sunny
6,Tokyo,25.6,60,sunny
6,London,17.8,72,sunny
6,Sydney,28.4,52,sunny
6,Cairo,34.2,28,sunny
7,Tokyo,23.1,67,cloudy
7,London,15.5,80,cloudy
7,Sydney,26.5,60,cloudy
7,Cairo,31.8,33,sunny
